id,texto_usuario,tipo_inmueble,habitaciones,banos,parqueadero,estrato,operacion,ciudad,zona,precio_rango,amoblado,mascotas,balcon,terraza,areas_comunes
622,"Estoy buscando apto en Cedritos Bogotá, una habitación, tipo dúplex para arriendo, amoblado, pet friendly, que tenga balcón, no necesito parqueadero, presupuesto 1M - 1.5M",duplex,1,2,0,2,arriendo,Bogotá,Cedritos,1M - 1.5M,1,1,1,0,"balcón, salón social, terraza"
623,"Un ático con terraza cómodo de dos habitaciones y 1 baño, en Belen, Medellín para venta, semi amoblado, terraza amplia",penthouse,2,1,1,4,venta,Medellín,Belen,menos de 1M,1,0,0,1,
624,"Estoy buscando apto en Centro Barranquilla, 3 habitaciones, tipo apto para familia para venta, totalmente amoblado, que acepte mascotas, con terraza, estrato 4",apartamento,3,1,2,4,venta,Barranquilla,Centro,1M - 1.5M,1,1,0,1,"piscina, terraza"
625,"Un penthouse cómodo de 3 alcobas y 2 baños en buen estado, en Belen, Medellín para venta, semi amoblado, apto para mascotas, un parqueadero privado, presupuesto 1.5M - 2M",penthouse,3,2,1,2,venta,Medellín,Belen,1.5M - 2M,1,1,0,0,"zona BBQ, salón social"
626,"Busco apto pequeño para una persona de 1 alcoba en Centro, Bucaramanga, para arriendo, que tenga balcón",apartaestudio,1,2,0,5,arriendo,Bucaramanga,Centro,menos de 1M,0,0,1,0,salón social
627,"Quiero venta un loft, en Barranquilla, idealmente en Centro, de una habitación y 3 baños en buen estado, con balcón, presupuesto más de 5M",loft,1,3,1,3,venta,Barranquilla,Centro,más de 5M,0,0,1,0,salón social
628,"Estoy buscando apto en Chapinero Bogotá, 2 habitaciones, tipo apto tradicional para arriendo, presupuesto 1.5M - 2M, estrato 3",apartamento,2,3,0,3,arriendo,Bogotá,Chapinero,1.5M - 2M,0,0,0,0,
629,"Estoy buscando apto en Ciudad Jardín Cali, 3 alcobas, tipo apto en último piso para arriendo, semi amoblado, con balcón, un parqueadero privado, presupuesto 3M - 4M, estrato 4",penthouse,3,2,1,4,arriendo,Cali,Ciudad Jardín,3M - 4M,1,0,1,0,"gimnasio, coworking, balcón"
630,"Busco dúplex de 4 alcobas en Centro, Bogotá, para venta, un parqueadero privado",duplex,4,1,1,2,venta,Bogotá,Centro,1.5M - 2M,0,0,0,0,"piscina, salón social, gimnasio"
631,"Un aparta estudio cómodo de una habitación y 3 baños en buen estado, en El Poblado, Medellín para arriendo, amoblado, terraza amplia, 1 parqueadero, presupuesto 3M - 4M, estrato 2",apartaestudio,1,3,1,2,arriendo,Medellín,El Poblado,3M - 4M,1,0,0,1,"salón social, zona BBQ"
632,"Quiero arriendo un apartamento, en Medellín, idealmente en Envigado, de 3 habitaciones y 2 baños en buen estado, que tenga balcón, estrato 3",apartamento,3,2,0,3,arriendo,Medellín,Envigado,2M - 3M,0,0,1,0,"balcón, gimnasio, terraza"
633,"Busco aparta estudio de una alcoba en Villa Santos, Barranquilla, para arriendo, amoblado, que tenga balcón, presupuesto 1.5M - 2M, estrato 6",apartaestudio,1,1,0,6,arriendo,Barranquilla,Villa Santos,1.5M - 2M,1,0,1,0,"piscina, balcón, gimnasio"
634,"Un ático con terraza cómodo de 2 habitaciones y un baño, en Teusaquillo, Bogotá para arriendo, pet friendly, con balcón, con terraza, sin parqueadero, estrato 2",penthouse,2,1,0,2,arriendo,Bogotá,Teusaquillo,1M - 1.5M,0,1,1,1,"balcón, salón social, terraza"
635,"Estoy buscando apto en Centro Bucaramanga, una alcoba, tipo apto para familia para venta, amoblado, con balcón, no requiere parqueadero, presupuesto menos de 1M",apartamento,1,3,0,2,venta,Bucaramanga,Centro,menos de 1M,1,0,1,0,"coworking, terraza, salón social"
636,"Busco mini estudio de una habitación en Centro, Bogotá, para arriendo, terraza amplia, presupuesto 3M - 4M",estudio,1,1,0,6,arriendo,Bogotá,Centro,3M - 4M,0,0,0,1,"terraza, gimnasio"
637,"Busco apto para familia de cuatro habitaciones en Centro, Barranquilla, para arriendo, semi amoblado, con terraza",apartamento,4,2,2,3,arriendo,Barranquilla,Centro,más de 5M,1,0,0,1,"coworking, balcón, piscina"
638,"Busco apto tipo estudio de una alcoba en Centro, Barranquilla, para venta, semi amoblado, que acepte mascotas, que tenga balcón, con terraza, 1 parqueadero",estudio,1,2,1,5,venta,Barranquilla,Centro,más de 5M,1,1,1,1,"zona BBQ, piscina, salón social"
639,"Un apto en último piso cómodo de 4 alcobas y un baño, en Cabecera, Bucaramanga para arriendo, amoblado, que tenga balcón, con terraza, presupuesto 1.5M - 2M",penthouse,4,1,1,4,arriendo,Bucaramanga,Cabecera,1.5M - 2M,1,0,1,1,"gimnasio, zona BBQ"
640,"Estoy buscando apto en Cedritos Bogotá, 2 habitaciones, tipo apto tradicional para arriendo, totalmente amoblado, terraza amplia, presupuesto 4M - 5M, estrato 6",apartamento,2,2,2,6,arriendo,Bogotá,Cedritos,4M - 5M,1,0,0,1,salón social
641,"Estoy buscando apto en Chapinero Bogotá, una alcoba, tipo apto tradicional para venta, totalmente amoblado, que acepte mascotas, que tenga balcón, con terraza, sin parqueadero, presupuesto 1M - 1.5M",apartamento,1,2,0,5,venta,Bogotá,Chapinero,1M - 1.5M,1,1,1,1,"terraza, gimnasio, balcón"
642,"Necesito un estudio una habitación estrato 4 en Bucaramanga, para arriendo por 1.5M - 2M, que tenga balcón, sin parqueadero, presupuesto 1.5M - 2M",estudio,1,1,0,4,arriendo,Bucaramanga,Centro,1.5M - 2M,0,0,1,0,
643,"Busco ático con terraza de tres habitaciones en Teusaquillo, Bogotá, para arriendo, semi amoblado, terraza amplia, presupuesto 3M - 4M, estrato 3",penthouse,3,3,1,3,arriendo,Bogotá,Teusaquillo,3M - 4M,1,0,0,1,zona BBQ
644,"Busco loft moderno de 1 habitación en Laureles, Medellín, para arriendo, con terraza, no necesito parqueadero, presupuesto 1.5M - 2M",loft,1,1,0,5,arriendo,Medellín,Laureles,1.5M - 2M,0,0,0,1,"zona BBQ, coworking, piscina"
645,"Busco loft de 1 alcoba en Envigado, Medellín, para venta, semi amoblado, apto para mascotas, terraza amplia, 1 parqueadero, presupuesto 2M - 3M, estrato 2",loft,1,3,1,2,venta,Medellín,Envigado,2M - 3M,1,1,0,1,"coworking, piscina, zona BBQ"
646,"Estoy buscando apto en Centro Barranquilla, 1 alcoba, tipo loft moderno para arriendo, con terraza, no requiere parqueadero, presupuesto 2M - 3M, estrato 4",loft,1,2,0,4,arriendo,Barranquilla,Centro,2M - 3M,0,0,0,1,
647,"Quiero venta un loft moderno, en Cali, idealmente en Ciudad Jardín, de 1 alcoba y 2 baños, con parqueadero, presupuesto 2M - 3M",loft,1,2,1,3,venta,Cali,Ciudad Jardín,2M - 3M,0,0,0,0,
648,"Quiero venta un apartamento tipo estudio, en Barranquilla, idealmente en Alto Prado, de 1 habitación y 2 baños, pet friendly, con balcón, no requiere parqueadero, presupuesto 1.5M - 2M",estudio,1,2,0,6,venta,Barranquilla,Alto Prado,1.5M - 2M,0,1,1,0,piscina
649,"Quiero arriendo un loft moderno, en Bucaramanga, idealmente en Centro, de 1 alcoba y un baño, con balcón, sin parqueadero, presupuesto menos de 1M, estrato 2",loft,1,1,0,2,arriendo,Bucaramanga,Centro,menos de 1M,0,0,1,0,
650,"Quiero venta un apto tradicional, en Medellín, idealmente en Laureles, de 1 habitación y 3 baños en buen estado, semi amoblado, 2 parqueaderos, presupuesto menos de 1M",apartamento,1,3,2,2,venta,Medellín,Laureles,menos de 1M,1,0,0,0,"zona BBQ, gimnasio"
651,"Quiero arriendo un mini estudio, en Cali, idealmente en Ciudad Jardín, de 1 alcoba y 1 baño, semi amoblado, que acepte mascotas, con balcón, con terraza, un parqueadero privado",estudio,1,1,1,3,arriendo,Cali,Ciudad Jardín,3M - 4M,1,1,1,1,"coworking, zona BBQ"
652,"Necesito un apto tipo estudio una alcoba estrato 5 en Cali, para venta por menos de 1M, totalmente amoblado, pet friendly, con parqueadero, estrato 5",estudio,1,3,1,5,venta,Cali,Ciudad Jardín,menos de 1M,1,1,0,0,piscina
653,"Estoy buscando apto en Alto Prado Barranquilla, una alcoba, tipo loft moderno para arriendo, 1 parqueadero, presupuesto 2M - 3M",loft,1,2,1,4,arriendo,Barranquilla,Alto Prado,2M - 3M,0,0,0,0,"gimnasio, balcón"
654,"Busco loft de concepto abierto de 1 habitación en Granada, Cali, para venta, 1 parqueadero, estrato 2",loft,1,1,1,2,venta,Cali,Granada,1.5M - 2M,0,0,0,0,"balcón, coworking"
655,"Quiero arriendo un apto en último piso, en Barranquilla, idealmente en Villa Santos, de 3 alcobas y 2 baños en buen estado, con terraza, presupuesto 2M - 3M",penthouse,3,2,1,2,arriendo,Barranquilla,Villa Santos,2M - 3M,0,0,0,1,"salón social, coworking"
656,"Quiero venta un apartamento, en Bogotá, idealmente en Suba, de cuatro habitaciones y un baño, amoblado, que tenga balcón, estrato 2",apartamento,4,1,0,2,venta,Bogotá,Suba,1M - 1.5M,1,0,1,0,"zona BBQ, coworking, gimnasio"
657,"Quiero venta un apto pequeño para una persona, en Cali, idealmente en San Fernando, de 1 alcoba y 2 baños, amoblado, que acepte mascotas, que tenga balcón, terraza amplia, no requiere parqueadero, presupuesto 4M - 5M",apartaestudio,1,2,0,2,venta,Cali,San Fernando,4M - 5M,1,1,1,1,"zona BBQ, terraza"
658,"Estoy buscando apto en Suba Bogotá, 1 alcoba, tipo loft de concepto abierto para venta, terraza amplia, dos parqueaderos, presupuesto 3M - 4M, estrato 4",loft,1,1,2,4,venta,Bogotá,Suba,3M - 4M,0,0,0,1,balcón
659,"Estoy buscando apto en Villa Santos Barranquilla, una alcoba, tipo loft para venta, semi amoblado, pet friendly, terraza amplia, con parqueadero, presupuesto 1M - 1.5M",loft,1,1,1,2,venta,Barranquilla,Villa Santos,1M - 1.5M,1,1,0,1,"balcón, gimnasio"
660,"Busco apartaestudio de una alcoba en Cañaveral, Bucaramanga, para venta",apartaestudio,1,2,0,6,venta,Bucaramanga,Cañaveral,más de 5M,0,0,0,0,
661,"Un aparta estudio cómodo de una habitación y un baño, en Suba, Bogotá para arriendo, amoblado, pet friendly, estrato 5",apartaestudio,1,1,0,5,arriendo,Bogotá,Suba,1.5M - 2M,1,1,0,0,gimnasio
662,"Un apto pequeño para una persona cómodo de una habitación y 2 baños en buen estado, en Cañaveral, Bucaramanga para venta, pet friendly, presupuesto 3M - 4M",apartaestudio,1,2,1,2,venta,Bucaramanga,Cañaveral,3M - 4M,0,1,0,0,"zona BBQ, gimnasio, terraza"
663,"Busco apto dúplex de dos habitaciones en San Fernando, Cali, para venta, amoblado, pet friendly, con terraza, 1 parqueadero, presupuesto 4M - 5M",duplex,2,2,1,4,venta,Cali,San Fernando,4M - 5M,1,1,0,1,"terraza, coworking"
664,"Busco apartamento de 3 habitaciones en Villa Santos, Barranquilla, para venta, amoblado, que tenga balcón, dos parqueaderos, presupuesto menos de 1M",apartamento,3,2,2,3,venta,Barranquilla,Villa Santos,menos de 1M,1,0,1,0,"terraza, piscina"
665,"Quiero venta un dúplex, en Cali, idealmente en San Fernando, de tres habitaciones y 2 baños, terraza amplia",duplex,3,2,0,4,venta,Cali,San Fernando,más de 5M,0,0,0,1,"balcón, piscina, gimnasio"
666,"Un loft moderno cómodo de 1 alcoba y 1 baño, en Cañaveral, Bucaramanga para venta, con balcón, no requiere parqueadero, estrato 4",loft,1,1,0,4,venta,Bucaramanga,Cañaveral,1.5M - 2M,0,0,1,0,terraza
667,"Necesito un apartamento en dos niveles tres habitaciones estrato 2 en Cali, para venta por 2M - 3M, que acepte mascotas, con balcón, con terraza, presupuesto 2M - 3M, estrato 2",duplex,3,3,1,2,venta,Cali,Granada,2M - 3M,0,1,1,1,gimnasio
668,"Un mini estudio cómodo de una habitación y 3 baños en buen estado, en Alto Prado, Barranquilla para arriendo, apto para mascotas, no requiere parqueadero, presupuesto 2M - 3M",estudio,1,3,0,2,arriendo,Barranquilla,Alto Prado,2M - 3M,0,1,0,0,"zona BBQ, coworking"
669,"Necesito un apto para familia 1 alcoba estrato 6 en Medellín, para venta por menos de 1M, semi amoblado, que tenga balcón, 1 parqueadero, presupuesto menos de 1M, estrato 6",apartamento,1,1,1,6,venta,Medellín,Laureles,menos de 1M,1,0,1,0,"balcón, coworking, terraza"
670,"Un mini estudio cómodo de 1 alcoba y 2 baños, en Suba, Bogotá para arriendo, estrato 6",estudio,1,2,1,6,arriendo,Bogotá,Suba,más de 5M,0,0,0,0,"terraza, balcón"
671,"Quiero arriendo un estudio, en Cali, idealmente en Granada, de una habitación y 2 baños, que acepte mascotas, con terraza, doble parqueadero, presupuesto 1.5M - 2M, estrato 4",estudio,1,2,2,4,arriendo,Cali,Granada,1.5M - 2M,0,1,0,1,
672,"Un apartamento en dos niveles cómodo de tres habitaciones y 1 baño, en Teusaquillo, Bogotá para venta, totalmente amoblado, un parqueadero privado, presupuesto más de 5M",duplex,3,1,1,5,venta,Bogotá,Teusaquillo,más de 5M,1,0,0,0,"coworking, zona BBQ, balcón"
673,"Estoy buscando apto en Cedritos Bogotá, 1 habitación, tipo estudio para venta, semi amoblado, apto para mascotas, terraza amplia, sin parqueadero",estudio,1,2,0,2,venta,Bogotá,Cedritos,1.5M - 2M,1,1,0,1,"balcón, terraza, coworking"
674,"Un aparta estudio cómodo de una alcoba y 2 baños, en Chapinero, Bogotá para venta, totalmente amoblado, con balcón, terraza amplia, dos parqueaderos, presupuesto menos de 1M, estrato 5",apartaestudio,1,2,2,5,venta,Bogotá,Chapinero,menos de 1M,1,0,1,1,gimnasio
675,"Quiero arriendo un apartamento, en Cali, idealmente en Granada, de 3 alcobas y un baño, amoblado, que acepte mascotas, que tenga balcón, presupuesto menos de 1M",apartamento,3,1,0,3,arriendo,Cali,Granada,menos de 1M,1,1,1,0,zona BBQ
676,"Busco apartamento tipo estudio de una habitación en Centro, Bucaramanga, para venta, pet friendly, con terraza, dos parqueaderos, presupuesto 1.5M - 2M",estudio,1,3,2,6,venta,Bucaramanga,Centro,1.5M - 2M,0,1,0,1,"balcón, salón social, gimnasio"
677,"Estoy buscando apto en Centro Bucaramanga, una habitación, tipo loft de concepto abierto para arriendo, con balcón, presupuesto más de 5M",loft,1,3,0,4,arriendo,Bucaramanga,Centro,más de 5M,0,0,1,0,salón social
678,"Necesito un dúplex 2 alcobas estrato 6 en Bucaramanga, para venta por más de 5M, pet friendly, no requiere parqueadero, presupuesto más de 5M",duplex,2,2,0,6,venta,Bucaramanga,Centro,más de 5M,0,1,0,0,"terraza, zona BBQ, piscina"
679,"Quiero venta un apartamento, en Bucaramanga, idealmente en Cañaveral, de 2 alcobas y 3 baños, pet friendly, con terraza, sin parqueadero",apartamento,2,3,0,5,venta,Bucaramanga,Cañaveral,menos de 1M,0,1,0,1,zona BBQ
680,"Quiero arriendo un apto dúplex, en Bucaramanga, idealmente en Cabecera, de cuatro habitaciones y 1 baño, con terraza",duplex,4,1,0,4,arriendo,Bucaramanga,Cabecera,4M - 5M,0,0,0,1,
681,"Estoy buscando apto en Laureles Medellín, 4 habitaciones, tipo apartamento para venta, totalmente amoblado, pet friendly, 2 parqueaderos",apartamento,4,2,2,4,venta,Medellín,Laureles,1M - 1.5M,1,1,0,0,"piscina, gimnasio, coworking"
682,"Estoy buscando apto en Ciudad Jardín Cali, 1 habitación, tipo aparta estudio para arriendo, totalmente amoblado, que tenga balcón, sin parqueadero, presupuesto 1M - 1.5M, estrato 4",apartaestudio,1,2,0,4,arriendo,Cali,Ciudad Jardín,1M - 1.5M,1,0,1,0,"gimnasio, coworking, terraza"
683,"Quiero arriendo un apartaestudio, en Bogotá, idealmente en Usaquén, de una habitación y 2 baños, totalmente amoblado, que acepte mascotas, con terraza, presupuesto 4M - 5M",apartaestudio,1,2,1,3,arriendo,Bogotá,Usaquén,4M - 5M,1,1,0,1,"salón social, piscina"
684,"Estoy buscando apto en El Poblado Medellín, 4 alcobas, tipo penthouse para arriendo, totalmente amoblado, apto para mascotas, terraza amplia, no requiere parqueadero, presupuesto 1.5M - 2M",penthouse,4,3,0,5,arriendo,Medellín,El Poblado,1.5M - 2M,1,1,0,1,terraza
685,"Quiero venta un ático con terraza, en Barranquilla, idealmente en Centro, de 4 habitaciones y 3 baños en buen estado, que acepte mascotas, con terraza, presupuesto 1M - 1.5M",penthouse,4,3,1,2,venta,Barranquilla,Centro,1M - 1.5M,0,1,0,1,"piscina, terraza"
686,"Busco apartaestudio de 1 habitación en Centro, Barranquilla, para venta, con balcón, no requiere parqueadero, presupuesto 4M - 5M",apartaestudio,1,2,0,3,venta,Barranquilla,Centro,4M - 5M,0,0,1,0,salón social
687,"Estoy buscando apto en Cabecera Bucaramanga, 4 alcobas, tipo apartamento en dos niveles para arriendo, amoblado, terraza amplia, presupuesto menos de 1M",duplex,4,1,0,4,arriendo,Bucaramanga,Cabecera,menos de 1M,1,0,0,1,"zona BBQ, terraza"
688,"Quiero venta un apto pequeño para una persona, en Cali, idealmente en Ciudad Jardín, de 1 alcoba y 3 baños, amoblado, con parqueadero, estrato 2",apartaestudio,1,3,1,2,venta,Cali,Ciudad Jardín,más de 5M,1,0,0,0,
689,"Quiero venta un apto pequeño para una persona, en Bogotá, idealmente en Cedritos, de 1 alcoba y 1 baño, estrato 4",apartaestudio,1,1,0,4,venta,Bogotá,Cedritos,2M - 3M,0,0,0,0,gimnasio
690,"Estoy buscando apto en Cabecera Bucaramanga, una alcoba, tipo loft para arriendo, amoblado, presupuesto 4M - 5M",loft,1,1,0,4,arriendo,Bucaramanga,Cabecera,4M - 5M,1,0,0,0,balcón
691,"Necesito un dúplex tres habitaciones estrato 6 en Barranquilla, para arriendo por 1M - 1.5M, totalmente amoblado, apto para mascotas, que tenga balcón, con terraza, presupuesto 1M - 1.5M",duplex,3,2,0,6,arriendo,Barranquilla,Villa Santos,1M - 1.5M,1,1,1,1,salón social
692,"Un estudio cómodo de una habitación y un baño, en Centro, Barranquilla para venta, dos parqueaderos, presupuesto 3M - 4M, estrato 2",estudio,1,1,2,2,venta,Barranquilla,Centro,3M - 4M,0,0,0,0,terraza
693,"Un apto tradicional cómodo de tres habitaciones y 3 baños en buen estado, en Villa Santos, Barranquilla para arriendo, no necesito parqueadero, presupuesto más de 5M",apartamento,3,3,0,3,arriendo,Barranquilla,Villa Santos,más de 5M,0,0,0,0,zona BBQ
694,"Un apto para familia cómodo de 1 alcoba y un baño, en Chapinero, Bogotá para arriendo, sin parqueadero, estrato 2",apartamento,1,1,0,2,arriendo,Bogotá,Chapinero,1.5M - 2M,0,0,0,0,"coworking, balcón, piscina"
695,"Un dúplex cómodo de 1 habitación y 3 baños en buen estado, en El Poblado, Medellín para venta, apto para mascotas, con balcón, terraza amplia, con parqueadero, presupuesto 3M - 4M, estrato 4",duplex,1,3,1,4,venta,Medellín,El Poblado,3M - 4M,0,1,1,1,
696,"Estoy buscando apto en Envigado Medellín, una habitación, tipo mini estudio para venta, amoblado, que tenga balcón, con terraza, presupuesto 1.5M - 2M, estrato 2",estudio,1,3,0,2,venta,Medellín,Envigado,1.5M - 2M,1,0,1,1,piscina
697,"Quiero arriendo un apto para familia, en Barranquilla, idealmente en Alto Prado, de 2 alcobas y 3 baños, con balcón, con terraza, con parqueadero",apartamento,2,3,1,2,arriendo,Barranquilla,Alto Prado,2M - 3M,0,0,1,1,"coworking, balcón"
698,"Necesito un apto para familia una habitación estrato 2 en Cali, para venta por 1M - 1.5M, amoblado, pet friendly, presupuesto 1M - 1.5M, estrato 2",apartamento,1,3,2,2,venta,Cali,San Fernando,1M - 1.5M,1,1,0,0,"salón social, terraza, zona BBQ"
699,"Busco apartamento en dos niveles de 3 habitaciones en Villa Santos, Barranquilla, para venta, que tenga balcón, presupuesto 1M - 1.5M, estrato 6",duplex,3,1,2,6,venta,Barranquilla,Villa Santos,1M - 1.5M,0,0,1,0,"salón social, coworking"
700,"Necesito un apartamento tipo estudio 1 alcoba estrato 5 en Cali, para arriendo por más de 5M, amoblado, con terraza, presupuesto más de 5M, estrato 5",estudio,1,2,1,5,arriendo,Cali,Ciudad Jardín,más de 5M,1,0,0,1,salón social
701,"Necesito un apto para familia 3 alcobas estrato 6 en Medellín, para arriendo por 1.5M - 2M, con balcón, terraza amplia, presupuesto 1.5M - 2M",apartamento,3,3,2,6,arriendo,Medellín,El Poblado,1.5M - 2M,0,0,1,1,piscina
702,"Un apartaestudio cómodo de una habitación y un baño, en Belen, Medellín para venta, totalmente amoblado, que tenga balcón",apartaestudio,1,1,0,3,venta,Medellín,Belen,3M - 4M,1,0,1,0,coworking
703,"Necesito un penthouse 2 alcobas estrato 2 en Barranquilla, para arriendo por 1M - 1.5M, totalmente amoblado, pet friendly, doble parqueadero",penthouse,2,1,2,2,arriendo,Barranquilla,Alto Prado,1M - 1.5M,1,1,0,0,"coworking, balcón, salón social"
704,"Estoy buscando apto en Teusaquillo Bogotá, una alcoba, tipo dúplex para arriendo, semi amoblado, apto para mascotas, no requiere parqueadero, presupuesto menos de 1M",duplex,1,1,0,3,arriendo,Bogotá,Teusaquillo,menos de 1M,1,1,0,0,
705,"Un estudio cómodo de 1 alcoba y 2 baños, en Villa Santos, Barranquilla para arriendo, totalmente amoblado, no necesito parqueadero, presupuesto 3M - 4M, estrato 6",estudio,1,2,0,6,arriendo,Barranquilla,Villa Santos,3M - 4M,1,0,0,0,"zona BBQ, balcón"
706,"Necesito un mini estudio una habitación estrato 5 en Medellín, para arriendo por 1M - 1.5M, con terraza, estrato 5",estudio,1,3,0,5,arriendo,Medellín,Laureles,1M - 1.5M,0,0,0,1,"gimnasio, coworking"
707,"Estoy buscando apto en Granada Cali, 4 alcobas, tipo penthouse para arriendo, amoblado, pet friendly, con balcón, presupuesto 2M - 3M",penthouse,4,2,0,4,arriendo,Cali,Granada,2M - 3M,1,1,1,0,
708,"Necesito un apartamento cuatro habitaciones estrato 2 en Barranquilla, para arriendo por 4M - 5M, totalmente amoblado, con balcón, presupuesto 4M - 5M, estrato 2",apartamento,4,2,2,2,arriendo,Barranquilla,Alto Prado,4M - 5M,1,0,1,0,
709,"Quiero arriendo un ático con terraza, en Bucaramanga, idealmente en Cabecera, de dos habitaciones y 2 baños en buen estado, totalmente amoblado, que acepte mascotas, un parqueadero privado",penthouse,2,2,1,5,arriendo,Bucaramanga,Cabecera,3M - 4M,1,1,0,0,gimnasio
710,"Un ático con terraza cómodo de dos habitaciones y 2 baños en buen estado, en San Fernando, Cali para arriendo, con terraza, presupuesto 4M - 5M, estrato 3",penthouse,2,2,0,3,arriendo,Cali,San Fernando,4M - 5M,0,0,0,1,"salón social, coworking, balcón"
711,"Un apartamento tipo estudio cómodo de 1 habitación y 2 baños en buen estado, en Centro, Barranquilla para arriendo, totalmente amoblado, apto para mascotas, con balcón, con terraza, con parqueadero, presupuesto 4M - 5M",estudio,1,2,1,6,arriendo,Barranquilla,Centro,4M - 5M,1,1,1,1,
712,"Estoy buscando apto en Belen Medellín, 2 habitaciones, tipo apto para familia para arriendo, apto para mascotas, con balcón, no necesito parqueadero, estrato 2",apartamento,2,1,0,2,arriendo,Medellín,Belen,más de 5M,0,1,1,0,"zona BBQ, salón social, balcón"
713,"Estoy buscando apto en Centro Bucaramanga, una habitación, tipo loft moderno para arriendo, semi amoblado, pet friendly",loft,1,1,0,4,arriendo,Bucaramanga,Centro,1M - 1.5M,1,1,0,0,
714,"Necesito un loft de concepto abierto una alcoba estrato 6 en Barranquilla, para arriendo por más de 5M, totalmente amoblado, con balcón, con terraza, no necesito parqueadero, estrato 6",loft,1,2,0,6,arriendo,Barranquilla,Centro,más de 5M,1,0,1,1,
715,"Busco apto dúplex de 2 alcobas en Usaquén, Bogotá, para venta, pet friendly, con balcón, 2 parqueaderos, presupuesto más de 5M",duplex,2,1,2,4,venta,Bogotá,Usaquén,más de 5M,0,1,1,0,zona BBQ
716,"Busco ático con terraza de 3 habitaciones en Chapinero, Bogotá, para arriendo, amoblado, con parqueadero, presupuesto más de 5M, estrato 5",penthouse,3,3,1,5,arriendo,Bogotá,Chapinero,más de 5M,1,0,0,0,coworking
717,"Estoy buscando apto en Laureles Medellín, 1 alcoba, tipo apto tradicional para venta, totalmente amoblado, que acepte mascotas, no necesito parqueadero, presupuesto más de 5M",apartamento,1,2,0,5,venta,Medellín,Laureles,más de 5M,1,1,0,0,"terraza, salón social"
718,"Busco loft de concepto abierto de una habitación en Cabecera, Bucaramanga, para arriendo, que tenga balcón, terraza amplia, con parqueadero, presupuesto 1.5M - 2M, estrato 5",loft,1,1,1,5,arriendo,Bucaramanga,Cabecera,1.5M - 2M,0,0,1,1,"balcón, terraza, zona BBQ"
719,"Busco apto tipo estudio de 1 habitación en Belen, Medellín, para arriendo, apto para mascotas, con terraza, con parqueadero, presupuesto 2M - 3M, estrato 4",estudio,1,1,1,4,arriendo,Medellín,Belen,2M - 3M,0,1,0,1,
720,"Un apto en último piso cómodo de 4 habitaciones y 2 baños en buen estado, en Centro, Bucaramanga para venta, amoblado, presupuesto 1.5M - 2M",penthouse,4,2,0,5,venta,Bucaramanga,Centro,1.5M - 2M,1,0,0,0,"balcón, salón social, zona BBQ"
721,"Estoy buscando apto en Centro Bogotá, una habitación, tipo apartamento tipo estudio para arriendo, semi amoblado, con terraza",estudio,1,1,1,4,arriendo,Bogotá,Centro,1.5M - 2M,1,0,0,1,salón social
722,"Un loft de concepto abierto cómodo de una alcoba y 3 baños, en Suba, Bogotá para arriendo, apto para mascotas, no necesito parqueadero",loft,1,3,0,3,arriendo,Bogotá,Suba,4M - 5M,0,1,0,0,gimnasio
723,"Un loft moderno cómodo de una habitación y 1 baño, en Teusaquillo, Bogotá para arriendo, semi amoblado, apto para mascotas, terraza amplia, con parqueadero, presupuesto 1M - 1.5M",loft,1,1,1,3,arriendo,Bogotá,Teusaquillo,1M - 1.5M,1,1,0,1,zona BBQ
724,"Quiero arriendo un loft, en Bogotá, idealmente en Usaquén, de 1 alcoba y 2 baños en buen estado, pet friendly, presupuesto más de 5M",loft,1,2,0,5,arriendo,Bogotá,Usaquén,más de 5M,0,1,0,0,terraza
725,"Un mini estudio cómodo de una alcoba y 2 baños, en Ciudad Jardín, Cali para arriendo, doble parqueadero, presupuesto 3M - 4M, estrato 5",estudio,1,2,2,5,arriendo,Cali,Ciudad Jardín,3M - 4M,0,0,0,0,gimnasio
726,"Un ático con terraza cómodo de cuatro habitaciones y 2 baños en buen estado, en El Poblado, Medellín para arriendo, totalmente amoblado, con terraza, presupuesto más de 5M, estrato 2",penthouse,4,2,2,2,arriendo,Medellín,El Poblado,más de 5M,1,0,0,1,"zona BBQ, gimnasio"
727,"Un ático con terraza cómodo de cuatro habitaciones y 2 baños, en Granada, Cali para arriendo, totalmente amoblado, que acepte mascotas, que tenga balcón, con terraza, presupuesto 1M - 1.5M",penthouse,4,2,0,5,arriendo,Cali,Granada,1M - 1.5M,1,1,1,1,zona BBQ
728,"Un loft cómodo de una alcoba y 2 baños, en Centro, Barranquilla para venta, totalmente amoblado, apto para mascotas, dos parqueaderos, presupuesto 1M - 1.5M",loft,1,2,2,6,venta,Barranquilla,Centro,1M - 1.5M,1,1,0,0,"zona BBQ, coworking"
729,"Necesito un apartaestudio 1 alcoba estrato 4 en Cali, para arriendo por 2M - 3M, totalmente amoblado, que acepte mascotas, no requiere parqueadero, presupuesto 2M - 3M",apartaestudio,1,2,0,4,arriendo,Cali,Ciudad Jardín,2M - 3M,1,1,0,0,
730,"Estoy buscando apto en Laureles Medellín, una habitación, tipo apto pequeño para una persona para venta, pet friendly, que tenga balcón, un parqueadero privado, estrato 6",apartaestudio,1,1,1,6,venta,Medellín,Laureles,4M - 5M,0,1,1,0,zona BBQ
